orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
K03840	0	6.984283672	36.88721832	4.052636112	12.05456706	0	0	55.18557491	2.385588124	0	6.165995955	11.90775253	0	0	1.45299262	0	102.5836991	0.67776312
K03841	14.71202437	19.51810283	36.77450442	13.03870684	21.61828654	4.139982566	7.625042732	72.03402105	52.90604388	10.54597796	18.33258898	41.29846504	4.342641777	7.054421392	22.01156889	7.624545103	122.6400618	11.54665799
K03842	0	0	0	0	0	0	0	0	0	0	0	0.240210027	0	0	0	0	0	0
K03845	0	0	0	0	1.286779166	0	0	0	0	0	0	0	0	0	0	0	0	0
K03848	0.305982798	0	0	0	0.326871489	0	0	0	0	0	0	0	0	0	0	0	0	0.207895425
K03849	0	0	0.239374649	0	0.347226124	0	0	0	0	0	0	0	0	0	0	0	0	0
K03851	6.392888869	11.24266368	1.055065713	1.148099423	8.701954858	2.914598479	9.452655023	0.544583001	27.35857834	5.575373073	11.86416198	21.09645794	2.490753683	5.056395179	10.73499431	7.508008988	2.556261432	5.116966793
K03852	7.728015522	14.85885085	3.532352089	2.117493921	6.872204904	3.343789208	11.66649942	2.149002676	40.59024465	8.979048089	8.285784282	27.11234304	4.175209687	2.998144756	19.5173479	13.34131247	4.375629612	5.056802705
K03854	0	0	0.230661779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03855	18.18308753	6.531815479	55.40513991	5.458964612	29.90010855	10.43975129	10.82273565	104.2073649	2.926998195	18.77464925	9.530905654	41.98159138	0	2.490788101	17.37044267	12.31558462	173.7980529	19.00972931
K03856	277.2844971	342.4572063	345.5310153	349.1575539	255.6303598	248.030306	409.2070578	233.325116	430.6307204	206.3849058	325.1718281	665.9662711	91.93404758	217.7298869	630.5748526	190.1658033	269.4367394	366.7528374
K03857	0.386251828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03862	0	1.265657551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03868	1.524498367	0	0	0	0	0	0	0	0	0	0	4.35173737	0	0	0	0	0	0
K03878	0	0	0	0.977229059	0	0	0	0	0	0.289911905	0	0	0	0	0	0	0	0
K03879	0	0	0	0.935639743	0	0.646761803	0	0	0	0	0	0	0	0	0	0	0	0
K03880	0	0	0	0	0	0.89088268	0	0	0	0	0	0	0	0	0	0	0	0
K03881	0	0	0	3.58062545	0	1.476952534	0	0	0	0	0	0	0	0	0	0	0	0
K03883	0	0	0	1.825412215	0	1.105091568	0	0	0	0	0	0	0	0	0	0	0	0
K03884	0	0	0	0.768756631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03885	79.37684935	78.93417769	102.945462	44.8103262	77.94556496	156.8620808	77.8084818	109.2498766	39.8692926	168.1253485	61.61578906	55.58389547	203.4910831	142.050529	42.73340154	140.6494893	122.104404	152.2197013
K03889	0	0	0	0	0.718126757	0	0	0.631317868	1.042188751	0.773098414	0	0.489553514	0.53924811	0	0	0.722990495	0	0
K03890	0.959046991	0	0.326302028	0.975794131	0	0	0	0	0	0	0	0	0	0.930413347	0.681213342	0	0	0
K03891	0	0.272626596	0.869353419	0.63049105	0	0.437400882	0	0	0	0.368407909	0.162510253	0	0	0	0.660258802	0.155178448	0.240767602	0.206068576
K03892	56.32003998	25.42248888	55.94813416	60.98224782	26.03589663	18.3779265	33.28389108	88.84056602	86.43364688	30.30657403	22.66080479	46.19214421	8.081140389	20.97400655	45.94417514	20.61022735	139.716692	19.14152209
K03893	5.863005068	5.452686741	18.71402251	7.627261681	17.63472914	1.404330713	1.982274714	71.46805801	9.849434901	1.629417917	2.892379137	14.53666995	2.982027746	0	9.6829774	1.314838642	95.35398354	2.415045133
K03895	0	0	0	0.592150378	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03897	0	0	0	0	0	0	0.251461612	0	0	0	0.233315245	0	0	0.539898626	0	0	0.151532057	0
K03919	3.205201887	0.699236733	28.98649686	3.24586133	8.777104806	3.926482921	0	46.50562156	0	0	2.496613054	7.748997524	2.636324095	1.072298661	0	0	90.58881024	0.542838054
K03923	36.41642319	20.25013554	33.62143135	23.5000291	17.66635552	6.245560228	11.43835354	76.96104093	132.7300107	12.62734292	11.92804353	28.58952252	10.30392789	4.75451235	66.76608982	8.862572054	111.7740725	8.449413274
K03924	1215.635402	1217.214705	1193.105863	1151.97056	1206.301095	1402.079319	1013.30683	1040.027306	844.3629701	1258.586629	1103.147103	981.146411	1370.099414	1147.367963	865.1820634	1099.127892	821.1646451	1165.983822
K03925	248.0214191	221.7226782	322.5502138	213.1579685	330.4399812	304.3904656	382.9532806	350.6310484	430.642264	242.8729733	451.2544843	327.3154658	228.9609339	372.9613789	410.0058013	328.6943533	376.0955654	260.7279921
K03926	7.915584961	5.686122588	28.3517635	1.537513262	5.068965265	1.053565604	3.109193579	44.30937169	5.053323823	2.870184096	4.0450778	13.71563651	0	1.092530711	9.358681857	1.783827016	89.5572836	2.093803923
K03927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162857927	0	0
K03928	0	0.583147237	15.74703389	6.088186704	15.42853779	8.433081419	4.281643667	0	1.062308225	1.577573364	0.344546932	5.428588472	1.648974916	7.627310344	3.848961346	1.842369601	0	14.04685621
K03929	113.5243504	120.6565341	86.19999111	104.6320944	164.4368698	147.8059731	119.8445648	130.3340194	101.7030127	238.064637	183.0671521	85.82106687	325.7358303	143.5863411	75.10748673	253.7434267	86.83569942	174.836344
K03930	2.620050426	1.725026134	1.831261574	2.665802461	0.72360864	3.687234975	1.587563588	0	3.152584409	0.388018976	1.354576451	0.497114186	0	0.887471693	1.439170278	0.362869754	0	0.896802125
K03931	129.0318469	32.64412855	95.93044349	41.42812842	62.69339776	76.53288296	85.91164101	148.8468831	16.73579712	102.4841277	51.38288657	42.65750046	110.743771	91.93780581	22.18342347	70.79223743	159.5475417	62.79539898
K03932	6.150882396	5.237755375	0.825043201	2.402062302	2.651544948	0.423636519	3.838963536	12.17869067	0.433287922	1.070443958	1.68761156	2.039170208	0.995534973	2.834467788	2.619028233	0.667375842	15.24015692	2.852805946
K03933	0.848612392	0	1.094594986	0	0	0	0.285076018	0.213414652	0	0.262336737	0	1.323933925	0	0	0.32309476	0	1.430869621	0.301421644
K03934	0	0	0	0	0	0	0	0	0	0	0	0	0.190833111	0	0	0	0	0
K03935	0.357403144	0.317968704	0	0	0	0.255611908	0	0	0	0	0	0.271629903	0	0	0	0	0	0
K03940	0	0	0.459562781	0	1.507019648	0	0	0	0	0	0	0.982844078	0	0	0.568705256	0.896100895	0	0
K03941	0.783037798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03942	0	0	0	0	0	0	0	0	0.274588653	0	0	0	0	0	0	0	0	0
K03943	0	0	0	0	0	0	0	0	0	0	0	0.986624248	0	0	0	0	0	0
K03953	0	0	0.318532933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03955	0	0	0	0	0	0	0.827571425	0	0	0	0	0	0	0	0	0	0	0.961090325
K03964	0	0	0	0	1.108686923	0	0	0	0	0	0	0	0	0	0	0	0	0
K03969	36.45419912	38.22912798	84.83728519	37.08775521	28.01035669	41.83846086	58.16838749	102.4232853	69.39619437	11.98338149	20.09164322	27.39154306	7.967891028	13.51766671	44.01585996	31.16805955	131.1760037	20.69961174
K03970	4.655900418	8.164061319	20.86304618	0	14.00541264	0	0	73.96855707	0	0	10.59776697	6.959598608	3.847608138	0	1.698430562	0	73.67488621	2.60562266
K03971	2.359839938	2.068974444	34.63718381	0	18.17942804	3.319453272	1.519103712	54.58737511	0	0	6.139307141	5.291201681	1.95015755	0	1.721696734	0	90.83205149	0
K03972	10.60744151	11.73679143	23.45279824	21.41563263	40.40590483	24.38955633	5.192550242	78.676244	2.21885347	27.09114185	37.19708059	7.946267999	66.65516989	30.21645921	1.948587002	35.65843118	91.14830419	3.668656761
