orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
map00010	280.082678716417	292.479034568369	267.493630041272	293.454279175961	273.236304785155	266.233016825437	267.071890989699	249.318048875796	258.81409162299	251.790946049223	270.347142242126	275.092972619175	251.223584775845	273.73256639533	262.816541826282	254.372921748417	226.105195616117	282.357722846699
map00020	306.797923557483	309.762861972362	272.217675998224	297.851321157172	291.072162006603	294.716824647	273.178923500155	269.598745225362	260.915923737121	305.744424284914	283.719201998241	281.81293964869	320.96191980631	284.373363506414	252.379145493293	299.782639228621	240.490163196103	301.996019149052
map00030	216.930848354341	226.464820270146	213.437420276732	221.038490691341	218.908628890366	213.047297691707	226.724645970439	205.175090311463	231.268093348854	211.506256786329	235.530131320244	230.85436883789	203.654721701159	224.864585461963	234.437422977634	219.129208730549	195.591890636488	218.912566853085
map00040	142.09909494296	145.564486336329	142.849109759316	128.677233765724	151.630587223355	142.759955289395	148.638775538553	143.242126700961	145.183000625855	168.330585171697	157.929992956237	139.5276722915	167.934011744803	152.502544833829	143.3060539305	160.970613811895	141.20079178525	143.486107362553
map00051	165.843628667587	162.917588464303	160.539839719844	161.630367731661	160.477978564486	156.580844047275	152.274625768853	151.888795938743	143.710222598661	162.834850533266	159.42860934189	151.712997157633	163.156323959376	160.483646155862	140.71257245778	157.194476848908	143.775185470349	152.313730204853
map00052	180.515055133897	161.861710467744	181.378443768026	173.037213553167	177.950923972872	180.055063814167	185.119691818833	183.724390071115	171.88891309659	172.081371485077	181.827976103936	164.283748431628	174.175406674	184.453021183705	169.149067056641	177.161402535577	180.60774988482	166.848506619692
map00053	63.4016325634348	63.4842323958478	70.9436794177826	61.5192445688696	60.5395124643478	60.0602742099348	72.9972054165218	76.5510628352609	60.0010987986087	62.6940887194131	64.3771791276956	62.0275117878913	57.8399726102826	63.4420738343043	57.639769734587	61.8112905368696	85.6496669196739	54.8787986295
map00061	265.248680911515	273.578912502303	259.847574518879	254.313399345727	251.869318574242	275.767805928545	237.984546710212	249.964012605818	218.153665225	283.42365459597	257.859587609818	216.794217283485	297.364045786182	262.380011540727	216.768359158182	267.897727733606	204.815057028242	263.56557077703
map00062	0.05974723764	0.01756222492	0.0122239034	0	0.08362119352	0	0.01278323584	0	0	0	0.03074164172	0	0.01684751492	0.02741023796	0	0	0	0
map00071	43.2547363930877	43.9091265935965	45.821312393386	41.4386612872807	46.4226359764561	41.9740355638421	47.3465834413684	49.9808437360702	56.302825604421	43.4575968503158	47.7786104795439	52.7839036125439	43.7508720423333	45.400826691193	56.8354151209298	47.2444554131404	54.9534914213509	44.6990501166316
